市場	チーム	ラウンド	チーム数	販売価格	仕入部数	受注数	販売部数	廃棄部数	売上高	売上原価	売上総利益	営業利益	累積販売価格	累積仕入部数	累積受注数	累積販売部数	累積廃棄部数	累積売上高	累積営業利益
1	1	1	12	100	150	112	112	38	11200	10500	700	200	100	150	112	112	38	11200	200
1	1	2	12	110	150	115	115	35	12650	10500	2150	1650	210	300	227	227	73	23850	1850
1	1	3	12	130	130	108	108	22	14040	9100	4940	4440	340	430	335	335	95	37890	6290
1	1	4	12	120	150	112	112	38	13440	10500	2940	2440	460	580	447	447	133	51330	8730
1	1	5	12	125	150	108	108	42	13500	10500	3000	2500	585	730	555	555	175	64830	11230
1	2	1	12	100	300	112	112	188	11200	21000	-9800	-10300	100	300	112	112	188	11200	-10300
1	2	2	12	100	150	127	127	23	12700	10500	2200	1700	200	450	239	239	211	23900	-8600
1	2	3	12	110	130	128	128	2	14080	9100	4980	4480	310	580	367	367	213	37980	-4120
1	2	4	12	110	120	122	120	0	13200	8400	4800	4300	420	700	489	487	213	51180	180
1	2	5	12	110	130	122	122	8	13420	9100	4320	3820	530	830	611	609	221	64600	4000
1	3	1	12	105	150	106	106	44	11130	10500	630	130	105	150	106	106	44	11130	130
1	3	2	12	110	102	115	102	0	11220	7140	4080	3580	215	252	221	208	44	22350	3710
1	3	3	12	100	127	140	127	0	12700	8890	3810	3310	315	379	361	335	44	35050	7020
1	3	4	12	105	110	128	110	0	11550	7700	3850	3350	420	489	489	445	44	46600	10370
1	3	5	12	120	112	112	112	0	13440	7840	5600	5100	540	601	601	557	44	60040	15470
1	4	1	12	118	112	95	95	17	11210	7840	3370	2870	118	112	95	95	17	11210	2870
1	4	2	12	108	105	117	105	0	11340	7350	3990	3490	226	217	212	200	17	22550	6360
1	4	3	12	121	123	116	116	7	14036	8610	5426	4926	347	340	328	316	24	36586	11286
1	4	4	12	130	150	103	103	47	13390	10500	2890	2390	477	490	431	419	71	49976	13676
1	4	5	12	125	120	108	108	12	13500	8400	5100	4600	602	610	539	527	83	63476	18276
1	5	1	12	110	140	102	102	38	11220	9800	1420	920	110	140	102	102	38	11220	920
1	5	2	12	110	110	115	110	0	12100	7700	4400	3900	220	250	217	212	38	23320	4820
1	5	3	12	110	110	128	110	0	12100	7700	4400	3900	330	360	345	322	38	35420	8720
1	5	4	12	110	128	122	122	6	13420	8960	4460	3960	440	488	467	444	44	48840	12680
1	5	5	12	120	110	112	110	0	13200	7700	5500	5000	560	598	579	554	44	62040	17680
1	6	1	12	130	130	86	86	44	11180	9100	2080	1580	130	130	86	86	44	11180	1580
1	6	2	12	120	100	106	100	0	12000	7000	5000	4500	250	230	192	186	44	23180	6080
1	6	3	12	110	120	128	120	0	13200	8400	4800	4300	360	350	320	306	44	36380	10380
1	6	4	12	125	110	107	107	3	13375	7700	5675	5175	485	460	427	413	47	49755	15555
1	6	5	12	120	112	112	112	0	13440	7840	5600	5100	605	572	539	525	47	63195	20655
1	7	1	12	120	170	93	93	77	11160	11900	-740	-1240	120	170	93	93	77	11160	-1240
